Sección,Período,Requests totales,Input tokens,Gasto USD,Días en período,Requests por día,Tokens por request,Gasto por día USD,Costo por request USD,Costo por 1M tokens USD,Notas
RESUMEN MENSUAL,Febrero 2026,224,1329323,2.53,28,8.0,5934,0.0904,0.0113,1903,Mes completo. Pico de $1.12 el 24-Feb (probablemente sesión de testing).
RESUMEN MENSUAL,Marzo 2026,256,1900542,2.03,31,8.3,7423,0.0655,0.0079,1068,Mes completo. Costo/request bajó 30% vs Feb. Pico $0.53 el 01-Mar.
RESUMEN MENSUAL,Abril 2026 (parcial),6,30000,0.04,1,6.0,5000,0.0400,0.0067,1333,Solo 1 día medido. Actividad de testing onboarding y análisis personalizado.
TOTAL ACUMULADO,Feb-Abr 2026,486,3259865,4.60,60,8.1,6708,0.0767,0.0095,1411,Suma de todos los períodos disponibles.
,,,,,,,,,,,,
COMPARATIVA DE EVOLUCIÓN,Métrica,Febrero 2026,Marzo 2026,Variación,,,,,,,
,Gasto total USD,2.53,2.03,-19.8%,,,,,,,
,Requests totales,224,256,+14.3%,,,,,,,
,Tokens por request,5934,7423,+25.1%,,,,,,,
,Costo por request USD,0.0113,0.0079,-30.1%,,,,,,,
,Costo por 1M tokens USD,1903,1068,-43.9%,,,,,,,
,,,,,,,,,,,,
PROYECCIONES,Escenario,Requests/mes estimados,Tokens/mes estimados,Gasto mensual USD,Gasto anual USD,,,,,,,
,Actual (uso orgánico ~8 req/día),243,1804329,1.93,23.16,,,,,,,
,Crecimiento moderado (20 req/día),600,4452000,4.76,57.12,,,,,,,
,Escala media (50 req/día),1500,11130000,11.91,142.92,,,,,,,
,Budget máximo ($120/mes),11250,83484375,120.00,1440.00,,,,,,,
,,,,,,,,,,,,
PICOS DE USO,Fecha,Gasto estimado USD,Causa probable,,,,,,,,,
,24-Feb-2026,1.12,Sesión de testing o desarrollo intensivo,,,,,,,,,
,01-Mar-2026,0.53,Sesión de testing o desarrollo intensivo,,,,,,,,,
